loss,feature_norm
889.69642,32.26337
886.447138,32.385351
880.254643,32.780267
876.225938,32.996573
875.34517,33.407004
873.513347,33.455531
872.305256,33.521636
870.903605,33.638516
867.755779,33.852167
863.491518,34.065428
861.986243,34.42845
858.732032,34.602972
856.613376,34.694296
856.132972,34.660407
855.366849,34.536476
854.900715,34.433333
851.54967,34.465665
843.190962,34.846313
838.084098,35.193502
835.835415,35.447125
834.941441,35.636251
833.96104,35.91454
833.238137,36.204918
832.929227,36.22047
832.519311,36.388678
830.471455,36.24918
823.762963,36.596516
822.565394,37.126405
817.325392,37.776501
815.667577,37.963948
803.338865,39.723053
802.760555,39.599166
794.480436,39.875768
783.932648,40.525787
776.450929,40.869677
773.287234,44.098104
764.749515,42.857874
762.474944,42.734709
761.969046,42.607038
760.494137,42.968264
743.66163,43.753788
737.597055,45.328876
735.361336,46.788779
735.027946,46.958795
730.472872,48.724749
728.072382,48.852002
721.820159,48.973409
720.160032,48.772461
719.766644,48.653047
718.836389,48.521878
710.174554,49.98349
706.639557,51.140226
706.412478,51.125398
705.492028,51.469114
705.319785,51.468769
704.680711,51.423666
703.940506,51.422448
702.800052,51.623629
701.958789,51.282543
701.792147,51.366522
701.407326,51.37444
698.543962,52.260105
695.602208,53.726477
692.032953,55.559633
690.935023,55.099817
688.288706,55.464471
684.758361,57.118665
682.236684,57.432221
681.095791,57.331166
676.615791,56.813446
675.430684,57.372547
672.318561,57.865433
669.97943,58.97329
669.477393,59.177072
669.184524,59.265904
668.515452,59.404866
668.228997,59.27283
667.641557,58.858167
666.911457,58.597704
666.021283,58.421198
664.476874,58.404599
662.478375,58.658542
661.009512,59.000062
659.655187,59.401431
658.48897,60.062899
658.077259,60.313929
656.09181,61.392387
653.814942,62.654288
650.272504,64.052156
650.158974,64.247395
647.964422,64.995344
646.07435,65.535462
643.455353,64.310259
638.49845,66.193162
636.224887,66.894571
634.59513,67.318096
633.898468,68.098458
632.423115,67.882475
629.717942,67.644097
625.485359,68.108384
621.457182,69.539991
621.232955,69.048157
619.329458,70.194746
618.892722,70.306099
618.436355,70.857264
618.327129,70.776547
617.330157,70.325446
615.880769,70.204797
613.061787,71.159375
611.107383,71.646769
610.747867,73.231192
610.628315,73.211973
610.261025,72.649334
609.922712,72.496066
608.684306,72.268694
607.478687,72.145627
605.266938,71.363523
604.72383,72.234979
604.608719,72.205458
603.755574,72.162094
602.314144,71.933195
599.353081,70.86218
598.188886,71.500155
597.269538,71.254924
596.50867,71.145538
595.907848,71.148058
594.851442,71.00128
593.205517,70.761738
592.066789,70.602897
591.570923,70.585458
590.799738,70.44423
589.959193,70.324852
588.83105,70.150323
588.744714,70.097414
587.866259,69.930321
587.402032,69.542357
586.837877,69.524949
586.641516,69.548879
586.418338,69.577354
585.825876,69.654868
585.031359,69.684313
584.020481,70.039882
583.11069,70.032472
582.552311,70.049835
582.34055,69.93713
581.882823,69.756863
581.506184,69.625305
580.74607,69.476493
579.090091,69.388167
576.867763,69.393545
575.579228,69.728657
574.450562,69.996673
574.002511,70.278461
573.853612,70.329485
572.346594,70.644704
571.354951,70.676886
571.103904,70.503267
570.526602,70.440172
570.368329,70.370507
569.993712,70.145388
569.709587,69.997635
569.619175,69.92523
569.083373,69.759913
568.501181,69.686978
567.795784,69.709712
567.744839,69.673549
567.277611,69.854203
566.738656,69.974619
565.510577,70.205699
564.741538,70.224641
564.225397,70.162991
563.727865,70.013421
563.354458,69.913299
563.266784,69.911758
562.572181,69.565293
561.511555,69.518284
558.980188,69.465548
558.617308,69.491604
558.595776,69.463011
558.394184,69.47054
558.385069,69.471993
558.315713,69.467097
558.006443,69.755095
557.288449,69.656065
555.726243,69.552123
554.920164,69.580404
554.776289,69.679529
554.64318,69.745496
554.592627,69.779582
554.571468,69.795632
554.424617,69.739546
553.952378,69.777188
553.731205,69.748783
553.64606,69.683389
553.618269,69.652634
553.594771,69.617034
553.476486,69.504919
553.330875,69.5668
553.084911,69.653416
552.970521,69.673327
552.959396,69.690127
552.933146,69.667317
552.501211,69.70764
551.131456,69.898531
550.8914,69.91805
550.734222,70.050466
550.691658,70.096223
550.681013,70.119565
550.672451,70.130107
550.643021,70.147725
550.544696,70.188273
550.391153,70.227146
550.236204,70.236571
550.14793,70.254859
550.059201,70.230996
550.038562,70.206516
550.01981,70.168693
550.004328,70.155166
549.505159,70.118922
548.090277,70.16766
547.954441,70.198674
547.704007,70.326643
547.65405,70.360952
547.620652,70.362575
547.603275,70.36658
547.559017,70.374033
547.469558,70.393728
547.39858,70.439781
547.229793,70.508764
547.04532,70.604469
546.945365,70.642504
546.771688,70.706474
546.322213,70.771318
545.605127,70.826874
543.823545,70.944455
543.77623,70.962778
543.217954,70.967226
542.739037,71.124934
542.61135,71.130158
542.130858,71.159781
541.50979,71.227646
537.224895,71.049325
537.123998,71.100789
535.291811,71.395091
533.984479,71.822482
533.869985,71.848837
533.260783,71.951005
532.504087,72.042203
532.271351,72.021646
531.467511,72.049739
530.465938,71.979247
530.39305,71.960769
530.187597,71.891071
528.792986,71.996263
526.046807,72.139328
525.196514,72.273227
524.931703,72.346483
524.773004,72.344388
524.606389,72.325963
524.120753,72.353155
523.657709,72.393375
523.04048,72.487503
522.607308,72.632937
522.473091,72.75761
522.294953,72.69173
522.228509,72.678468
522.148083,72.651229
522.068633,72.662221
521.053895,72.73166
